ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Audio_Files
Agob-1sgPOSS-2,,Agob,1sgPOSS,ŋomo,ŋomo,,,,,,,,
Kawam-1sgPOSS-1,,Kawam,1sgPOSS,ŋomo,ŋomo,,,,,,,,
Kawam-1sgPOSS-2,,Kawam,1sgPOSS,ŋomo,ŋomo,,,,,,,,
Taeme-1sgPOSS-1,,Taeme,1sgPOSS,ŋəmo,ŋəmo,,,,,,,,
Taeme-1sgPOSS-2,,Taeme,1sgPOSS,ŋəmo,ŋəmo,,,,,,,,
Kawam-216-1,,Kawam,216,taromba,taromba,,,,,,,,9ab1b0d82cd7529f600075117159f936
Kawam-216-2,,Kawam,216,taromba,taromba,,,,,,,,9ab1b0d82cd7529f600075117159f936
Agob-2nsgACC-1,,Agob,2nsgACC,bæm,bæm,,,,,,,,
Agob-2nsgACC-2,,Agob,2nsgACC,bæm,bæm,,,,,,,,
Kawam-2nsgACC-1,,Kawam,2nsgACC,bibim,bibim,,,,,,,,
Kawam-2nsgACC-2,,Kawam,2nsgACC,bibim,bibim,,,,,,,,
Taeme-2nsgACC-1,,Taeme,2nsgACC,bibim,bibim,,,,,,,,
Taeme-2nsgACC-2,,Taeme,2nsgACC,bibim,bibim,,,,,,,,
Agob-2nsgDAT-1,,Agob,2nsgDAT,bæra,bæra,,,,,,,,
Agob-2nsgDAT-2,,Agob,2nsgDAT,bæɽa,bæɽa,,,,,,,,
Kawam-2nsgDAT-1,,Kawam,2nsgDAT,bibra,bibra,,,,,,,,
Kawam-2nsgDAT-2,,Kawam,2nsgDAT,bibrɐ,bibrɐ,,,,,,,,
Taeme-2nsgDAT-1,,Taeme,2nsgDAT,bibʎi,bibʎi,,,,,,,,
Taeme-2nsgDAT-2,,Taeme,2nsgDAT,bibʎi,bibʎi,,,,,,,,
Agob-2nsgNOM-1,,Agob,2nsgNOM,bibi,bibi,,,,,,,,6504c9d0639ab195c2397007ee9dc6fe
Agob-2nsgNOM-2,,Agob,2nsgNOM,bibi,bibi,,,,,,,,6504c9d0639ab195c2397007ee9dc6fe
Em-2nsgNOM-1,,Em,2nsgNOM,bibi,bibi,,,,,,,,6cf0d6d104bd5c2b40610bc7226c6db0
Em-2nsgNOM-2,,Em,2nsgNOM,bibi,bibi,,,,,,,,6cf0d6d104bd5c2b40610bc7226c6db0
Ende-2nsgNOM-1,,Ende,2nsgNOM,bibi,bibi,,,,,,,,21cae3fd7932e6d235f2f342e33412f8
